   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 262 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
aq 0   4587 0    0    0    0   0  27   9   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2080  0    0   0  0    0   0  0   0  0   0    0   0  3    0   5     2  0   181  0    0 0 0  0  0 
cc 0   0    3167 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 12    1    0   0  0    0   0  0   0  0   0    0   0  46   0   1     0  0   0    1    0 0 0  0  0 
cs 0   0    18   1085 0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 31    0    0   0  0    0   0  0   0  0   1170 0   0  5    0   19    0  0   0    0    0 0 0  0  0 
da 0   0    0    0    9042 0   0  0    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 143   0    5   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    1 0 0  0  0 
dd 0   3    0    0    0    579 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
de 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    8   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   24   0    0    0    0   0  2787 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 14    0    0   0  0    0   0  25  0  0   0    0   0  27   0   0     0  0   0    0    0 0 0  0  0 
dn 0   0    0    0    0    0   0  28   335 0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    1   0  0    0   0  0   1  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
dp 0   0    0    0    0    0   0  0    0   1095 0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   2  0    0   0     0  0   0    0    0 0 0  0  0 
dt 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    18  0  0    0   0     0  0   0    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    4  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 2     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 5     0    4   0  0    0   0  0   0  0   0    0   0  0    0   2     0  0   0    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 13  396  1    0    1    0   0  3    18  0    0  0  0    0   0   0    0  0   0    0  0   0  0 16896 4    0   0  0    0   0  2   2  2   0    0   0  32   0   11    1  1   83   22   0 0 2  0  0 
np 0   1    1    0    0    9   0  0    0   1    0  0  0    0   0   0    0  0   0    0  0   0  0 1935  1443 0   0  0    1   0  0   0  0   0    0   0  0    0   3     0  0   0    1    0 0 0  0  0 
nu 0   0    0    0    0    0   0  0    3   0    0  0  0    0   0   0    0  0   0    0  0   0  0 147   1    243 0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
p0 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  1038 0   0  0   0  35  0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pd 0   0    0    0    0    21  0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    167 0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    1   0  0    0   0     0  0   0    0    0 0 0  0  0 
pi 0   1    0    0    0    0   0  271  0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  275 0  0   1    0   0  18   0   0     0  0   0    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    61  0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  1   21 0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pp 0   0    0    0    257  0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  52   0   0  0   0  777 0    0   0  23   0   0     0  0   0    0    0 0 0  0  0 
pr 0   0    0    7    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   1651 0   0  3    0   0     0  0   0    0    0 0 0  0  0 
