   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 255 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  0   0  0   0    0   0  2    0   0     0  0   1    0    0 0 0  0  0 
aq 0   5360 0    0    0    0   0  20   4   0    0  0  0    0   0   0    0  0   0    0  0   0  0 913   44   5   0  0    0   0  0   0  0   0    0   0  3    0   5     1  0   539  0    0 0 0  0  0 
cc 0   1    3163 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     1    0   0  0    0   0  0   0  0   0    0   0  45   0   1     0  0   13   1    0 0 0  0  0 
cs 0   9    18   1962 0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 14    1    0   0  0    0   0  0   0  0   266  0   0  7    0   19    0  0   32   0    0 0 0  0  0 
da 0   0    0    0    8969 0   0  0    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 118   4    66  0  0    0   0  0   0  31  0    0   0  0    0   0     0  0   3    0    0 0 0  0  0 
dd 0   7    0    0    0    548 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 12    5    0   0  0    4   0  0   0  0   0    0   0  0    0   0     0  0   8    0    0 0 0  0  0 
de 0   0    0    0    0    0   0  0    0   0    3  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    5   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   37   0    0    0    0   0  2743 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 24    6    0   0  0    0   0  31  0  0   0    0   0  24   0   0     0  0   12   0    0 0 0  0  0 
dn 0   8    0    0    0    0   0  28   290 0    0  0  0    0   0   0    0  0   0    0  0   0  0 26    4    1   0  0    0   0  0   3  0   0    0   0  0    0   0     0  0   10   0    0 0 0  0  0 
dp 0   1    0    0    0    0   0  0    0   1089 0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   2    0    0 0 0  0  0 
dt 0   2    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    15  0  0    0   0     0  0   1    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   2    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   2    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 3     0    4   0  0    0   0  0   0  0   0    0   0  0    0   2     0  0   1    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 10  713  0    0    6    0   0  4    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 16028 116  22  0  0    0   0  2   2  1   0    0   0  11   0   8     0  1   543  20   0 0 2  0  0 
np 0   16   1    0    0    1   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 244   3038 4   0  0    1   0  0   0  0   0    0   0  0    0   2     0  0   88   0    0 0 0  0  0 
nu 0   17   0    0    1    0   0  0    2   0    0  0  0    0   0   0    0  0   0    0  0   0  0 99    2    240 0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   33   0    0 0 0  0  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
p0 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  1038 0   0  0   0  35  0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pd 0   3    0    0    0    14  0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     2    0   0  0    161 0  0   0  0   0    0   0  1    0   0     0  0   5    0    0 0 0  0  0 
pe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    1   0  0    0   0     0  0   0    0    0 0 0  0  0 
pi 0   10   0    0    0    0   0  231  0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     3    0   0  0    0   0  310 0  0   1    0   0  12   0   0     0  0   2    0    0 0 0  0  0 
pn 0   2    0    0    0    0   0  0    47  0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  1   28 0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
pp 0   2    0    0    153  0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 12    5    0   0  52   0   0  0   0  858 0    0   0  23   0   0     0  0   6    0    0 0 0  0  0 
pr 0   1    0    111  0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     0    0   0  0    0   0  0   0  0   1541 0   0  2    0   0     0  0   1    0    0 0 0  0  0 
pt 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     2    0   0  0    0   0  0   0  0   1    124 0  0    0   0     0  0   5    0    0 0 0  0  0 
px 0   0    0    0    0    0   0  0    0   1    0  0  0    0   0   0    0  0   0    0  0   0  0 9     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   10   0    0 0 0  0  0 
rg 0   176  21   9    1    0   0  2    2   0    0  0  0    0   0   0    0  0   0    0  0   0  0 165   32   4   0  0    0   0  16  0  0   0    0   0  2859 23  16    0  0   208  1    0 0 0  0  0 
rn 0   0    1    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     0    0   0  0    0   0  0   0  0   0    0   0  2    799 0     0  0   2    0    0 0 0  0  0 
sp 0   33   0    50   0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 25    0    0   0  0    0   0  0   0  0   0    0   0  4    0   13499 0  0   34   0    0 0 0  0  0 
un 0   6    0    2    0    0   0  0    0   0    0  0  0    0   16  1    0  0   2    0  0   1  0 9     13   4   0  0    0   0  0   0  0   0    1   0  1    0   1     1  0   11   0    0 0 0  0  0 
va 0   2    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 9     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  824 18   0    0 0 0  0  0 
vm 0   567  0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 534   170  8   0  0    0   0  0   0  0   0    0   0  0    0   1     0  1   8098 9    0 0 0  0  0 
vs 0   4    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 6     3    0   0  0    0   0  0   0  0   0    0   0  6    0   0     0  0   12   1402 0 0 0  0  0 
w  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
z  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
zm 0   11   0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 8     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   1    0    0 0 39 0  0 
zp 0   2    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 67    0    3   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  10 0 
zu 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
