   ao aq   cc   cs   da   dd de di   dn dp  dt fa fc   fd fe  fg fh fi fp   fs fx fz i nc    np   nu ot p0  pd pe pi pn pp pr   pt px rg   rn  sp    un va  vm   vs  w z zm zp zu
ao 0  4    0    0    22   0  0  0    0  0   0  0  2    0  0   0  0  0  0    0  0  0  0 219   5    0  0  0   0  0  0  0  0  0    0  0  0    0   7     0  0   4    0   0 0 0  0  0 
aq 0  3495 0    2    394  0  0  7    0  0   0  0  87   0  0   0  0  0  4    0  0  0  0 1113  17   0  0  0   0  0  0  0  0  0    0  0  1    0   1396  0  0   378  0   0 0 0  0  0 
cc 0  3    2566 2    407  0  0  0    0  0   0  0  3    0  0   0  0  0  0    0  0  0  0 57    110  0  0  0   0  0  0  0  0  0    0  0  49   0   20    0  0   11   1   0 0 0  0  0 
cs 0  4    22   1634 171  0  0  0    0  0   0  0  11   0  0   0  0  0  1    0  0  0  0 41    10   0  0  0   0  0  0  0  0  273  0  0  0    0   121   0  0   40   0   0 0 0  0  0 
da 0  0    0    0    9053 0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 127   4    1  0  0   0  0  0  0  0  0    0  0  0    0   7     0  0   0    0   0 0 0  0  0 
dd 0  10   0    2    300  0  0  0    0  0   0  0  6    0  0   0  0  0  0    0  0  0  0 106   26   0  0  0   0  0  0  0  0  0    0  0  1    0   60    0  0   73   0   0 0 0  0  0 
de 0  0    0    0    3    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   2     0  0   3    0   0 0 0  0  0 
di 0  59   0    0    152  0  0  2371 0  0   0  0  9    0  0   0  0  0  0    0  0  0  0 174   6    0  0  0   0  0  0  0  0  0    0  0  15   0   41    0  0   50   0   0 0 0  0  0 
dn 0  12   0    0    76   0  0  33   0  0   0  0  2    0  0   0  0  0  0    0  0  0  0 132   52   0  0  0   0  0  0  0  0  0    0  0  0    0   40    0  0   23   0   0 0 0  0  0 
dp 0  4    0    0    130  0  0  0    0  781 0  0  10   0  0   0  0  0  0    0  0  0  0 49    1    0  0  0   0  0  0  0  0  0    0  0  0    0   51    0  0   71   0   0 0 0  0  0 
dt 0  0    0    1    10   0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 1     3    0  0  0   0  0  0  0  0  0    0  0  0    0   3     0  0   2    0   0 0 0  0  0 
fa 0  2    0    0    11   0  0  0    0  0   0  0  5    0  0   0  0  0  0    0  0  0  0 8     1    0  0  0   0  0  0  0  0  0    0  0  0    0   18    0  0   7    0   0 0 0  0  0 
fc 0  0    0    0    5    0  0  0    0  0   0  0  5533 0  0   0  0  0  0    0  0  0  0 4     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   1    0   0 0 0  0  0 
fd 0  27   0    0    29   0  0  0    0  0   0  0  21   0  0   0  0  0  0    0  0  0  0 25    0    0  0  0   0  0  0  0  0  0    0  0  0    0   178   0  0   2    0   0 0 0  0  0 
fe 0  0    0    0    8    0  0  0    0  0   0  0  0    0  545 0  0  0  0    0  0  0  0 43    0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
fg 0  44   2    3    388  0  0  0    0  0   0  0  49   0  0   11 0  0  15   0  0  0  0 246   12   0  0  0   0  0  0  0  0  0    0  0  0    0   282   0  0   66   0   0 0 0  0  0 
