   ao aq   cc   cs   da   dd de di   dn dp  dt fa fc   fd fe  fg fh fi fp   fs fx fz i nc    np   nu ot p0  pd pe pi pn pp pr   pt px rg   rn sp    un va  vm   vs  w z zm zp zu
ao 0  12   0    0    19   0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 216   3    0  0  0   0  0  0  0  0  0    0  0  0    0  8     0  0   5    0   0 0 0  0  0 
aq 0  3319 1    9    531  0  0  9    0  0   0  0  77   0  0   0  0  0  15   0  0  0  0 1267  15   0  0  0   0  0  0  0  0  1    0  0  9    0  1281  0  0   360  0   0 0 0  0  0 
cc 0  8    2470 2    421  0  0  2    0  0   0  0  3    0  0   0  0  0  0    0  0  0  0 111   116  0  0  0   0  0  0  0  0  0    0  0  43   0  41    0  0   11   1   0 0 0  0  0 
cs 0  16   30   1428 188  0  0  0    0  0   0  0  19   0  0   0  0  0  2    0  0  0  0 77    11   0  0  0   0  0  0  0  0  308  0  0  0    0  210   0  0   39   0   0 0 0  0  0 
da 0  11   0    0    8979 0  0  0    0  0   0  0  4    0  0   0  0  0  0    0  0  0  0 146   5    11 0  0   0  0  0  0  0  0    0  0  0    0  34    0  0   2    0   0 0 0  0  0 
dd 0  14   0    4    299  0  0  1    0  0   0  0  2    0  0   0  0  0  0    0  0  0  0 119   18   0  0  0   0  0  0  0  0  0    0  0  3    0  53    0  0   71   0   0 0 0  0  0 
de 0  0    0    0    3    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0  2     0  0   3    0   0 0 0  0  0 
di 0  91   0    0    175  0  0  2095 0  0   0  0  14   0  0   0  0  0  1    0  0  0  0 304   13   0  0  0   0  0  0  0  0  0    0  0  13   0  106   0  0   65   0   0 0 0  0  0 
dn 0  25   0    0    81   0  0  34   0  0   0  0  2    0  0   0  0  0  1    0  0  0  0 125   43   0  0  0   0  0  0  0  0  0    0  0  2    0  37    0  0   20   0   0 0 0  0  0 
dp 0  18   0    0    201  0  0  0    0  572 0  0  5    0  0   0  0  0  1    0  0  0  0 150   2    0  0  0   0  0  0  0  0  0    0  0  0    0  61    0  0   87   0   0 0 0  0  0 
dt 0  0    0    1    8    0  0  0    0  0   0  0  1    0  0   0  0  0  0    0  0  0  0 3     3    0  0  0   0  0  0  0  0  0    0  0  0    0  4     0  0   0    0   0 0 0  0  0 
fa 0  1    0    0    13   0  0  0    0  0   0  0  3    0  0   0  0  0  1    0  0  0  0 8     1    0  0  0   0  0  0  0  0  0    0  0  1    0  19    0  0   5    0   0 0 0  0  0 
