   ao aq   cc   cs   da   dd de di   dn dp  dt fa fc   fd fe  fg fh fi fp   fs fx fz i nc    np   nu ot p0  pd pe pi pn pp pr   pt px rg   rn sp    un va vm   vs w z zm zp zu
ao 0  17   1    0    19   0  0  0    0  0   0  0  0    0  0   0  0  0  2    0  0  0  0 209   5    0  0  0   0  0  0  0  0  0    0  0  0    0  6     0  0  4    0  0 0 0  0  0 
aq 0  3281 34   16   484  0  0  13   0  0   0  0  77   0  0   0  0  0  61   0  0  0  0 1261  51   0  0  0   0  0  0  0  0  9    0  0  24   0  1314  0  0  269  0  0 0 0  0  0 
cc 0  23   2335 0    350  0  0  3    0  0   0  0  4    0  0   0  0  0  1    0  0  0  0 233   128  0  0  0   0  0  0  0  0  0    0  0  46   0  75    0  0  31   0  0 0 0  0  0 
cs 0  33   37   1193 228  0  0  0    0  0   0  0  27   0  0   0  0  0  13   0  0  0  0 130   20   0  0  0   0  0  0  0  0  379  0  0  1    0  232   0  0  35   0  0 0 0  0  0 
da 0  29   0    0    8924 0  0  0    0  0   0  0  15   0  0   0  0  0  11   0  0  0  0 142   20   10 0  0   0  0  0  0  0  0    0  0  0    0  41    0  0  0    0  0 0 0  0  0 
dd 0  16   1    8    276  0  0  1    0  0   0  0  2    0  0   0  0  0  2    0  0  0  0 121   41   0  0  0   0  0  0  0  0  3    0  0  2    0  49    0  0  62   0  0 0 0  0  0 
de 0  0    0    0    3    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 0     1    0  0  0   0  0  0  0  0  0    0  0  0    0  2     0  0  2    0  0 0 0  0  0 
di 0  134  3    0    208  0  0  1852 0  0   0  0  17   0  0   0  0  0  14   0  0  0  0 359   32   0  0  0   0  0  0  0  0  5    0  0  13   0  170   0  0  70   0  0 0 0  0  0 
dn 0  32   0    0    85   0  0  29   0  0   0  0  3    0  0   0  0  0  1    0  0  0  0 122   43   0  0  0   0  0  0  0  0  0    0  0  5    0  36    0  0  14   0  0 0 0  0  0 
dp 0  34   6    2    451  0  0  1    0  239 0  0  8    0  0   0  0  0  1    0  0  0  0 169   19   0  0  0   0  0  0  0  0  6    0  0  0    0  88    0  0  73   0  0 0 0  0  0 
dt 0  2    0    0    8    0  0  0    0  0   0  0  1    0  0   0  0  0  0    0  0  0  0 2     3    0  0  0   0  0  0  0  0  0    0  0  0    0  4     0  0  0    0  0 0 0  0  0 
fa 0  5    0    0    11   0  0  0    0  0   0  0  2    0  0   0  0  0  1    0  0  0  0 12    3    0  0  0   0  0  0  0  0  0    0  0  1    0  13    0  0  4    0  0 0 0  0  0 
fc 0  0    0    0    35   0  0  0    0  0   0  0  5451 0  0   0  0  0  0    0  0  0  0 28    0    0  0  0   0  0  0  0  0  0    0  0  0    0  4     0  0  25   0  0 0 0  0  0 
fd 0  75   0    5    18   0  0  3    0  0   0  0  15   0  0   0  0  0  3    0  0  0  0 33    2    0  0  0   0  0  0  0  0  1    0  0  0    0  119   0  0  8    0  0 0 0  0  0 
fe 0  8    0    0    29   0  0  0    0  0   0  0  9    0  423 0  0  0  35   0  0  0  0 68    2    0  0  0   0  0  0  0  0  0    0  0  0    0  3     0  0  19   0  0 0 0  0  0 
fg 0  129  8    8    326  0  0  1    0  0   0  0  43   0  0   0  0  0  22   0  0  0  0 268   31   0  0  0   0  0  0  0  0  2    0  0  3    0  234   0  0  43   0  0 0 0  0  0 
fh 0  0    0    0    1    0  0  0    0  0   0  0  0    0  0   0  0  0  0    0  0  0  0 1     0    0  0  0   0  0  0  0  0  0    0  0  0    0  2     0  0  0    0  0 0 0  0  0 
fi 0  27   3    2    31   0  0  0    0  0   0  0  19   0  0   0  0  0  6    0  0  0  0 21    2    0  0  0   0  0  0  0  0  0    0  0  1    0  40    0  0  10   0  0 0 0  0  0 
fp 0  1    2    3    173  0  0  0    0  0   0  0  0    0  0   0  0  0  3687 0  0  0  0 85    6    0  0  0   0  0  0  0  0  0    0  0  0    0  14    0  0  28   0  0 0 0  0  0 
fs 0  10   0    0    2    0  0  0    0  0   0  0  5    0  0   0  0  0  0    0  0  0  0 5     0    0  0  0   0  0  0  0  0  0    0  0  0    0  16    0  0  6    0  0 0 0  0  0 
fx 0  27   0    1    4    0  0  0    0  0   0  0  9    0  0   0  0  0  6    0  0  0  0 21    0    0  0  0   0  0  0  0  0  0    0  0  0    0  41    0  0  5    0  0 0 0  0  0 
