   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 261 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    0   0  1    0   0     0  0   0    0    0 0 0  0  0 
aq 0   5897 0    0    0    1   0  23   4   0    0  0  0    0   0   0    0  0   0    0  0   0  0 579   32   0   0  0    0   0  0   0  0   1    0   0  8    0   5     1  0   343  0    0 0 0  0  0 
cc 0   4    3165 1    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     1    0   0  0    0   0  0   0  0   0    0   0  47   0   1     0  0   6    1    0 0 0  0  0 
cs 0   4    20   2056 0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 8     0    0   0  0    0   0  0   0  0   198  0   0  4    0   19    0  0   19   0    0 0 0  0  0 
da 0   0    0    0    9016 0   0  0    1   0    0  0  0    0   0   0    0  0   0    0  0   0  0 87    4    56  0  0    0   0  0   0  27  0    0   0  0    0   0     0  0   0    0    1 0 0  0  0 
dd 0   1    0    0    0    576 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     1    0   0  0    6   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
de 0   0    0    0    0    0   3  0    0   0    3  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    2   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   31   0    0    0    0   0  2779 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 5     1    0   0  0    0   0  35  0  0   0    0   0  24   0   0     0  0   2    0    0 0 0  0  0 
dn 0   0    0    0    0    0   0  28   327 0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     2    2   0  0    0   0  0   7  0   0    0   0  0    0   0     0  0   1    0    0 0 0  0  0 
dp 0   0    0    0    0    0   0  0    0   1097 0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
dt 0   0    0    0    0    0   0  0    0   0    9  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    0   0  0   0  0   0    9   0  0    0   0     0  0   1    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    4  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   2    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   1    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   7  0 4     0    4   0  0    0   0  0   0  0   0    0   0  0    0   2     0  0   0    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
