   ao  aq   cc   cs   da   dd  de di   dn  dp   dt fa fc   fd  fe  fg   fh fi  fp   fs fx  fz i nc    np   nu  ot p0   pd  pe pi  pn pp  pr   pt  px rg   rn  sp    un va  vm   vs   w z zm zp zu
ao 254 0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 8     0    0   0  0    0   0  0   0  0   0    0   0  1    0   0     0  0   0    0    0 0 0  0  0 
aq 4   5649 13   5    66   0   0  13   6   1    0  1  93   0   28  20   0  0   2    0  0   0  0 456   65   1   0  13   0   0  1   0  0   30   0   0  61   10  93    3  1   257  2    0 0 0  0  0 
cc 0   3    3157 1    1    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     6    0   0  0    0   0  0   0  0   0    0   0  58   0   1     0  0   1    1    0 0 0  0  0 
cs 0   0    23   2054 3    0   0  0    0   0    0  0  2    0   2   0    0  0   0    0  0   0  0 1     5    0   0  0    0   0  0   0  0   209  0   0  9    0   18    2  0   0    0    0 0 0  0  0 
da 0   4    0    2    9015 0   0  0    0   0    0  0  1    0   0   2    0  0   1    0  0   0  0 74    37   5   0  1    0   0  0   1  30  2    0   0  0    0   3     0  0   8    0    6 0 0  0  0 
dd 0   1    0    0    2    572 0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 1     0    0   0  0    8   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
de 0   0    0    0    0    0   4  0    0   0    2  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    2   0  0    0   0     0  0   0    0    0 0 0  0  0 
di 0   75   0    0    5    0   0  2734 0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    0   0  0    0   0  54  0  0   0    0   0  6    0   0     0  0   0    0    0 0 0  0  0 
dn 1   0    0    0    4    0   0  27   326 0    0  0  0    0   0   0    0  0   0    0  0   0  0 3     0    2   0  0    0   0  1   6  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
dp 0   0    0    0    0    0   0  0    0   1093 0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   4  0    0   0     0  0   0    0    0 0 0  0  0 
dt 0   0    0    0    1    1   3  0    0   0    13 0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    2   0  0    0   0     0  0   0    0    0 0 0  0  0 
fa 0   0    0    0    0    0   0  0    0   0    0  52 0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fc 0   0    0    0    0    0   0  0    0   0    0  0  5543 0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fd 0   0    0    0    0    0   0  0    0   0    0  0  0    282 0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fe 0   0    0    0    0    0   0  0    0   0    0  0  0    0   596 0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fg 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   1118 0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fh 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    4  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fi 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  162 0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fp 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   3999 0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fs 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    42 0   0  0 2     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fx 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  114 0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
fz 0   0    0    1    0    0   0  0    0   0    0  0  0    0   1   0    0  0   0    0  0   7  0 0     2    4   0  0    0   0  0   0  0   0    0   0  0    0   3     0  0   0    0    0 0 0  0  0 
i  0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
nc 9   348  6    3    137  2   0  4    9   0    0  0  28   4   8   29   0  1   6    0  0   0  0 16345 280  5   0  1    0   0  5   4  3   26   0   0  39   2   42    7  1   119  11   0 0 5  1  0 
np 0   126  11   14   40   0   0  0    0   1    0  0  21   0   26  12   0  1   1    0  0   0  0 514   2355 3   0  26   2   0  1   1  6   45   1   1  42   12  40    0  5   85   2    0 0 0  1  0 
nu 0   11   0    0    33   0   0  1    1   1    0  0  0    0   0   0    0  0   0    0  0   0  0 16    32   273 0  2    0   0  0   1  0   2    0   0  3    1   8     0  1   6    0    0 1 0  1  0 
ot 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
p0 0   0    0    0    0    0   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  1043 0   0  0   0  30  0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pd 0   0    0    0    0    5   0  0    0   0    0  0  0    0   0   0    0  0   0    0  0   0  0 2     2    0   0  0    182 0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pe 0   0    0    0    0    0   0  0    0   0    1  0  0    0   0   0    0  0   0    0  0   0  0 0     0    0   0  0    0   0  0   0  0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
pi 0   7    0    0    0    0   0  49   0   0    0  0  1    0   0   0    0  0   0    0  0   0  0 1     2    0   0  0    0   0  485 0  0   1    0   0  22   0   0     0  0   3    0    0 0 0  0  0 
pn 0   0    0    0    0    0   0  0    18  0    0  0  0    0   0   0    0  0   0    0  0   0  0 7     0    0   0  0    0   0  1   58 0   0    0   0  0    0   0     0  0   0    0    0 0 0  0  0 
