   ao aq   cc   cs   da   dd de di   dn dp  dt fa fc   fd fe  fg  fh fi fp   fs fx fz i nc    np   nu ot p0  pd pe pi pn pp pr   pt px rg   rn  sp    un va  vm   vs  w z zm zp zu
ao 0  1    0    0    19   0  0  0    0  0   0  0  1    0  0   0   0  0  0    0  0  0  0 229   5    0  0  0   0  0  0  0  0  0    0  0  1    0   4     0  0   3    0   0 0 0  0  0 
aq 0  3837 0    0    126  0  0  3    0  0   0  0  46   0  0   0   0  0  4    0  0  0  0 1324  18   0  0  0   0  0  0  0  0  0    0  0  0    0   1234  0  0   302  0   0 0 0  0  0 
cc 0  1    2917 1    129  0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 12    104  0  0  0   0  0  0  0  0  0    0  0  46   0   17    0  0   1    1   0 0 0  0  0 
cs 0  1    16   1949 160  0  0  0    0  0   0  0  0    0  0   0   0  0  1    0  0  0  0 11    3    0  0  0   0  0  0  0  0  95   0  0  0    0   82    0  0   10   0   0 0 0  0  0 
da 0  0    0    0    9080 0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 107   5    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
dd 0  7    0    2    178  0  0  0    0  0   0  0  6    0  0   0   0  0  0    0  0  0  0 244   23   0  0  0   0  0  0  0  0  0    0  0  0    0   60    0  0   64   0   0 0 0  0  0 
de 0  0    0    0    3    0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 1     1    0  0  0   0  0  0  0  0  0    0  0  0    0   3     0  0   0    0   0 0 0  0  0 
di 0  103  0    0    130  0  0  2466 0  0   0  0  4    0  0   0   0  0  0    0  0  0  0 119   2    0  0  0   0  0  0  0  0  0    0  0  15   0   4     0  0   34   0   0 0 0  0  0 
dn 0  10   0    0    51   0  0  27   7  0   0  0  4    0  0   0   0  0  0    0  0  0  0 167   57   0  0  0   0  0  0  0  0  0    0  0  0    0   27    0  0   20   0   0 0 0  0  0 
dp 0  2    0    0    85   0  0  0    0  911 0  0  2    0  0   0   0  0  0    0  0  0  0 49    1    0  0  0   0  0  0  0  0  0    0  0  0    0   24    0  0   23   0   0 0 0  0  0 
dt 0  0    0    1    8    0  0  0    0  0   0  0  1    0  0   0   0  0  0    0  0  0  0 3     3    0  0  0   0  0  0  0  0  0    0  0  0    0   2     0  0   2    0   0 0 0  0  0 
fa 0  2    0    0    6    0  0  0    0  0   0  0  8    0  0   0   0  0  0    0  0  0  0 13    1    0  0  0   0  0  0  0  0  0    0  0  0    0   13    0  0   9    0   0 0 0  0  0 
fc 0  0    0    0    1    0  0  0    0  0   0  0  5542 0  0   0   0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
fd 0  26   0    0    5    0  0  0    0  0   0  0  36   0  0   0   0  0  0    0  0  0  0 69    0    0  0  0   0  0  0  0  0  0    0  0  0    0   138   0  0   8    0   0 0 0  0  0 
fe 0  0    0    0    0    0  0  0    0  0   0  0  0    0  596 0   0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
fg 0  43   0    0    259  0  0  0    0  0   0  0  61   0  0   214 0  0  8    0  0  0  0 255   13   0  0  0   0  0  0  0  0  0    0  0  0    0   212   0  0   53   0   0 0 0  0  0 
fh 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 2     0    0  0  0   0  0  0  0  0  0    0  0  0    0   2     0  0   0    0   0 0 0  0  0 
fi 0  5    0    0    25   0  0  0    0  0   0  0  27   0  0   0   0  0  4    0  0  0  0 30    0    0  0  0   0  0  0  0  0  0    0  0  0    0   42    0  0   29   0   0 0 0  0  0 
fp 0  0    0    0    8    0  0  0    0  0   0  0  0    0  0   0   0  0  3987 0  0  0  0 2     0    0  0  0   0  0  0  0  0  0    0  0  0    0   1     0  0   1    0   0 0 0  0  0 
fs 0  2    0    0    1    0  0  0    0  0   0  0  7    0  0   0   0  0  1    0  0  0  0 13    0    0  0  0   0  0  0  0  0  0    0  0  0    0   18    0  0   2    0   0 0 0  0  0 
fx 0  6    0    0    0    0  0  0    0  0   0  0  23   0  0   0   0  0  0    0  0  0  0 37    0    0  0  0   0  0  0  0  0  0    0  0  0    0   35    0  0   13   0   0 0 0  0  0 
fz 0  0    0    0    6    0  0  0    0  0   0  0  2    0  0   0   0  0  1    0  0  0  0 2     3    0  0  0   0  0  0  0  0  0    0  0  0    0   4     0  0   0    0   0 0 0  0  0 
i  0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
nc 0  77   0    0    251  0  0  1    0  0   0  0  10   0  0   0   0  0  0    0  0  0  0 16534 111  0  0  0   0  0  0  0  0  0    0  0  2    0   406   0  0   98   0   0 0 0  0  0 
np 0  1    1    0    468  0  0  0    0  0   0  0  1    0  0   0   0  0  0    0  0  0  0 350   2413 0  0  0   0  0  0  0  0  0    0  0  0    0   140   0  0   21   0   0 0 0  0  0 
nu 0  4    0    0    192  0  0  0    0  0   0  0  2    0  0   0   0  0  0    0  0  0  0 81    21   63 0  0   0  0  0  0  0  0    0  0  0    0   20    0  0   11   0   0 0 0  0  0 
ot 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   0     0  0   0    0   0 0 0  0  0 
p0 0  2    0    0    37   0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 6     8    0  0  991 0  0  0  0  0  0    0  0  0    0   7     0  0   22   0   0 0 0  0  0 
pd 0  6    0    0    72   0  0  0    0  0   0  0  5    0  0   0   0  0  0    0  0  0  0 19    33   0  0  0   0  0  0  0  0  0    0  0  0    0   19    0  0   37   0   0 0 0  0  0 
pe 0  0    0    0    0    0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 0     0    0  0  0   0  0  0  0  0  0    0  0  0    0   1     0  0   0    0   0 0 0  0  0 
pi 0  15   0    0    112  0  0  197  0  0   0  0  4    0  0   0   0  0  0    0  0  0  0 103   2    0  0  0   0  0  0  0  0  1    0  0  30   0   44    0  0   63   0   0 0 0  0  0 
pn 0  0    0    0    11   0  0  0    0  0   0  0  1    0  0   0   0  0  0    0  0  0  0 53    7    0  0  0   0  0  0  0  0  0    0  0  0    0   5     0  0   7    0   0 0 0  0  0 
pp 0  6    0    2    432  0  0  0    0  0   0  0  26   0  0   0   0  0  0    0  0  0  0 97    20   0  0  51  0  0  0  0  49 0    0  0  2    0   107   0  0   319  0   0 0 0  0  0 
pr 0  0    0    590  17   0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 34    1    0  0  0   0  0  0  0  0  1013 0  0  0    0   1     0  0   5    0   0 0 0  0  0 
pt 0  0    0    3    46   0  0  0    0  0   0  0  3    0  0   0   0  0  1    0  0  0  0 14    13   0  0  0   0  0  0  0  0  0    0  0  0    0   17    0  0   35   0   0 0 0  0  0 
px 0  0    0    0    6    0  0  0    0  0   0  0  0    0  0   0   0  0  0    0  0  0  0 7     0    0  0  0   0  0  0  0  0  0    0  0  0    0   1     0  0   6    0   0 0 0  0  0 
rg 0  107  14   7    285  0  0  1    0  0   0  0  32   0  0   0   0  0  3    0  0  0  0 268   7    0  0  0   0  0  0  0  0  0    0  0  2238 14  405   0  0   154  0   0 0 0  0  0 
rn 0  3    1    0    73   0  0  0    0  0   0  0  8    0  0   0   0  0  1    0  0  0  0 90    16   0  0  0   0  0  0  0  0  0    0  0  5    502 86    0  0   21   0   0 0 0  0  0 
sp 0  1    0    45   59   0  0  0    0  0   0  0  1    0  0   0   0  0  1    0  0  0  0 10    43   0  0  0   0  0  0  0  0  0    0  0  2    0   13483 0  0   0    0   0 0 0  0  0 
un 0  0    0    2    7    0  0  0    0  0   0  0  1    0  16  0   0  0  3    0  0  0  0 11    13   0  0  0   0  0  0  0  0  0    0  0  1    0   12    0  0   3    0   0 0 0  0  0 
